Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 405 SUL;53001702;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 405, AREA ESPECIAL. ASA SUL. 70239-000 Brasília - DF.";(61) 39017694;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8159293;-47.8921727
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 407 NORTE;53001710;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"SQN 407/408, A. ESP. ASA NORTE. 70855-000 Brasília - DF.";(61) 39012637;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-15.76233238;-47.87846782
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 410 NORTE;53001729;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 410, AREA ESPECIAL. ASA NORTE. 70865-000 Brasília - DF.";(61) 39013093;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7549925;-47.8815547
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 410 SUL;53001737;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 410, AREA ESPECIAL. ASA SUL. 70276-000 Brasília - DF.";(61) 39011525;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.826802;-47.9050671
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 411 NORTE;53001745;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 411 AREA ESPECIAL, 411 411. ASA NORTE. 70866-000 Brasília - DF.";(61) 39017534;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7528269;-47.8821589
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 413 SUL;53001753;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"SQS 413, S/N ESCOLA CLASSE. ASA SUL. 70296-000 Brasília - DF.";(61) 39012501;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-15.8313284;-47.9129472
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 415 NORTE;53001761;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 415, 415 AREA ESPECIAL. ASA NORTE. 70878-000 Brasília - DF.";(61) 39017535;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-15.739818;-47.8862886
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 416 SUL;53001770;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 416, AE ASA SUL. 70299-000 Brasília - DF.";(61) 39012505;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8376573398709;-47.9217814933509
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 708 NORTE;53001788;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SHCGN 707, S/N AREA ESPECIAL. ASA NORTE. 70740-730 Brasília - DF.";(61) 39016922;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7680955;-47.8919241
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC DO SMU;53001800;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA DO EXERCITO, QRO AREA ESPECIAL. SETOR MILITAR URBANO. 70630-000 Brasília - DF.";(61) 39018339;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7749422;-47.930947
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC GRANJA DO TORTO;53001818;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"GRANJA DO TORTO, SN FAZENDA MODELO. GRANJA DO TORTO. 70636-000 Brasília - DF.";(61) 39017539;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-15.7052429;-47.9117538
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;EP 210-211 NORTE;53001842;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA EQN 210/211, ASA NORTE. 70862-400 Brasília - DF.";(61) 39017526;Estadual;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-15.7542529;-47.8837378
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;EP 210-211 SUL;53001850;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA EQS 210/211, ASA SUL. 70273-400 Brasília - DF.";(61) 39017601;Estadual;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-15.8253413;-47.9077081
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;EP 303-304 NORTE;53001869;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA EQN 303/304, S/N AREA ESPECIAL. ASA NORTE. 70735-400 Brasília - DF.";(61) 39017598;Estadual;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-15.6584727;-47.7935258
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;EP 307-308 SUL;53001877;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA EQS 307/308, ASA SUL. 70354-400 Brasília - DF.";(61) 39011545;Estadual;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-15.8130439;-47.9045923
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;EP 313-314 SUL;53001885;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA EQS 313/314 AREA ESPECIAL, ASA SUL. 70382-400 Brasília - DF.";(61) 39012630;Estadual;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-15.8244998;-47.9209167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC DO PARQUE DA CIDADE - PROEM;53001893;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 909, LOTE 27 ASA SUL. 70390-090 Brasília - DF.";(61) 39017620;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-15.8091194;-47.9133745
ESCOLA PARALISADA;EC DA ACAO SOCIAL DO PLANALTO;53001966;DF;Brasília;Urbana;Não Informado;Pública;"QUADRA SGAS 616, 616 ASA SUL. ASA SUL. 70200-760 Brasília - DF.";(61) 39017610;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEP - ESC DE MUSICA DE BRASILIA;53001990;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 602 MODULO D PARTE A, AVENIDA L2 SUL. ASA SUL. 70200-620 Brasília - DF.";(61) 39016760;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Profissional;Atividade Complementar;-15.8083299;-47.8812015
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC TECNICA DE SAUDE DE BRASILIA - ETESB;53002121;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"SETOR SMHN QUADRA, 03 BLOCO 01 ED. FEPECS. ASA NORTE. 70710-100 Brasília - DF.";(61) 20172118;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Profissional;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MENINOS E MENINAS DO PARQUE;53002148;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"PARQUE RECREATIVO DONA SARAH KUBITSCHEK, ESTACIONAMENTO 06. ASA SUL. 70610-300 Brasília - DF.";(61) 39017780;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";;-15.8100153;-47.9250826
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 21 DE ABRIL;53002210;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SEPS 707/907, ASA SUL. 70390-078 Brasília - DF.";(61) 39012615;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-15.8103037;-47.9067971
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 102 SUL;53002237;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 102, S/N AREA ESPECIAL. ASA SUL. 70330-000 Brasília - DF.";(61) 39011535;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-15.804001;-47.8897774
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 106 NORTE;53002245;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 106, AREA ESPECIAL. ASA NORTE. 70742-000 Brasília - DF.";(61) 39017521;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-15.769669;-47.8833067
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 108 SUL;53002253;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 108 - AREA ESPECIAL, SEM NUMERO ASA SUL. 70347-000 Brasília - DF.";(61) 39011527;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-15.8174022;-47.9044424
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 114 SUL;53002261;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 114, S/N AREA ESPECIAL. ASA SUL. 70377-000 Brasília - DF.";(61) 39012500;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-15.8286935;-47.9208031
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 208 SUL;53002270;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 208, AREA ESPECIAL. ASA SUL. 70254-000 Brasília - DF.";(61) 39011523;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-15.8205746;-47.9015839
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 302 NORTE;53002288;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"SQN 302, AREA ESPECIAL. ASA NORTE. 70723-000 Brasília - DF.";(61) 39017587;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-15.7819636;-47.8859261
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 303 SUL;53002296;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 303 AREA ESPECIAL, S/N ASA SUL. 70336-000 Brasília - DF.";(61) 39012611;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-15.8031469;-47.8937523
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 304 NORTE;53002300;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 304, S/Nº AREA ESPECIAL. ASA NORTE. 70736-000 Brasília - DF.";(61) 39017586;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-15.7761541195361;-47.8857525531648
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 305 SUL;53002318;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 305, AEREA ESPECIAL. ASA SUL. 70352-000 Brasília - DF.";(61) 39012508;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-15.8084678;-47.8986852
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 308 SUL;53002326;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 308, AREA ESPECIAL. ASA SUL. 70355-000 Brasília - DF.";(61) 39012509;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-15.8142305;-47.9063792
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 312 NORTE;53002334;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 312, AE. ASA NORTE. 70765-000 Brasília - DF.";(61) 39017527;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-15.7515174;-47.8923927
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 314 SUL;53002342;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 314, ASA SUL. 70383-000 Brasília - DF.";(61) 39012494;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-15.8262108;-47.922552
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 316 SUL;53002350;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 316 AREA ESPECIAL, S/N ASA SUL. 70387-000 Brasília - DF.";(61) 39017693;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-15.8289415;-47.9271741
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI 404 NORTE;53002369;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 404, AREA ESPECIAL. ASA NORTE. 70845-000 Brasília - DF.";(61) 39017582;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-15.7752157;-47.8763998
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CAIC CARLOS CASTELLO BRANCO;53002458;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"AREA EQ 13/15, SN DENTRO DA EC 29. SETOR SUL GAMA. 72410-730 Brasília - DF.";(61) 39018099;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-16.0398880625144;-48.0596515629441
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF PONTE ALTA DO BAIXO;53002466;DF;Brasília;Rural;A escola não está em área de localização diferenciada;Pública;"NUCLEO RURAL PONTE ALTA, N.R.PONTE ALTA BAIXO. PONTE ALTA GAMA. 72426-000 Brasília - DF.";(61) 35062080;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-16.0252782;-48.1313433
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CED GESNER TEIXEIRA;53002474;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DALIAS QUADRA, 2/6 DVO. CIDADE NOVA GAMA. 72491-090 Brasília - DF.";(61) 39014564;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-16.0487347;-48.0469389
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CED 08 DO GAMA;53002482;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA 4 BLOCO A, E/Q 04/10 AREA ESPECIAL. SETOR SUL GAMA. 72415-230 Brasília - DF.";(61) 39018105;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-16.0231646;-48.0783159
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 04 DO GAMA;53002490;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA EQ 29/33, 3 PRACA 3. SETOR LESTE GAMA. 72460-295 Brasília - DF.";(61) 39012607;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-16.0270675;-48.0563085
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 05 DO GAMA;53002504;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA QUADRA 26/29, 26/29 AREA ESPECIAL. SETOR OESTE GAMA. 72420-290 Brasília - DF.";(61) 35539996;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-16.0157681722194;-48.0785073246807
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 08 DO GAMA;53002512;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA 2 AE CEF 08, SETOR SUL GAMA. 72415-117 Brasília - DF.";(61) 39018321;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-16.0256871543506;-48.0739626333277
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 29 DO GAMA;53002520;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"AREA EQ 13/15, SN SETOR SUL GAMA. 72410-730 Brasília - DF.";(61) 39018079;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-16.0403905;-48.0588624
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 10 DO GAMA;53002539;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA EQ 16/26 E 19-22, AREA ESPECIAL. SETOR OESTE GAMA. 72420-167 Brasília - DF.";(61) 39018081;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-16.0142161;-48.0753794
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 11 DO GAMA;53002547;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA QUADRA 1, AEREA ESPECIAL. SETOR SUL GAMA. 72410-100 Brasília - DF.";(61) 39018113;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-16.0281814;-48.0696752
ESCOLA PARALISADA;CEF 12 DO GAMA;53002555;DF;Brasília;Urbana;Não Informado;Pública;"QUADRA EQ 12/16, AREA ESPECIAL. SETOR OESTE GAMA. 72425-125 Brasília - DF.";(61) 35561497;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CED 07 DO GAMA;53002563;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA EQ 15/17, LOTE 03 PRACA 01. SETOR CENTRAL GAMA. 72405-155 Brasília - DF.";(61) 39018080;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-16.02012828;-48.06484072
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM 01 DO GAMA;53002580;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA EQ 18/19, AREA ESPECIAL. SETOR LESTE GAMA. 72460-185 Brasília - DF.";(61) 39018094;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-16.0188242;-48.0543116
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM 02 DO GAMA;53002598;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"AREA ESPECIAL OESTE LOTES 27/36, 27/36 LOTES 27/36. SETOR OESTE GAMA. 72420-270 Brasília - DF.";(61) 39018066;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Médio;Atendimento Educacional Especializado;-16.015342;-48.0710892
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM 03 DO GAMA;53002601;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"AREA EQ 5/11, AREA ESPECIAL F. SETOR SUL GAMA. 72410-315 Brasília - DF.";(61) 39018074;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-16.0367227;-48.0637146